Team 1,Team 2,Team 1 Wins,Team 2 Wins,Team 1 First Leg Wins,Team 2 First Leg Wins,1st Leg Draws,Team 1 Second Leg Wins,Team 2 Second Leg Wins,2nd Leg Draws,Team 1 Elo,Team 2 Elo,Team 1 Win %,Team 2 Win %,1st Leg Win % T1,1st Leg Win % T2,1st Leg Draw %,2nd Leg Win % T1,2nd Leg Win % T2,2nd Leg Draw %
Žalgiris,Hamrun Spartans,6842,3158,6799,1138,2063,3153,4189,2658,,,68.4,31.6,68.0,11.4,20.6,31.5,41.9,26.6
KuPS,Milsami Orhei,4983,5017,2648,2634,4718,2605,2740,4655,,,49.8,50.2,26.5,26.3,47.2,26.0,27.4,46.6
The New Saints,Shkëndija,4244,5756,4840,2563,2597,1614,6052,2334,,,42.4,57.6,48.4,25.6,26.0,16.1,60.5,23.3
Iberia 1999,Malmö,1024,8976,1634,5978,2388,548,8064,1388,,,10.2,89.8,16.3,59.8,23.9,5.5,80.6,13.9
Levadia Tallinn,RFS,1909,8091,2784,4504,2712,733,7587,1680,,,19.1,80.9,27.8,45.0,27.1,7.3,75.9,16.8
Drita Bogovinë,Differdange,7507,2493,7325,821,1854,3680,3628,2692,,,75.1,24.9,73.2,8.2,18.5,36.8,36.3,26.9
Víkingur Gøta,Lincoln Red Imps,6747,3253,6780,1172,2048,3054,4191,2755,,,67.5,32.5,67.8,11.7,20.5,30.5,41.9,27.6
Egnatia Rrogozhinë,Breidablik,3823,6177,4729,2698,2573,1382,6346,2272,,,38.2,61.8,47.3,27.0,25.7,13.8,63.5,22.7
Shelbourne,Linfield,7303,2697,7206,908,1886,3558,3736,2706,,,73.0,27.0,72.1,9.1,18.9,35.6,37.4,27.1
FCSB,Inter Club d'Escaldes,9691,309,8789,319,892,7864,638,1498,,,96.9,3.1,87.9,3.2,8.9,78.6,6.4,15.0
Virtus,Zrinjski Mostar,320,9680,629,7914,1457,342,8827,831,,,3.2,96.8,6.3,79.1,14.6,3.4,88.3,8.3
Olimpija Ljubljana,Kairat,5057,4943,2723,2684,4593,2720,2691,4589,,,50.6,49.4,27.2,26.8,45.9,27.2,26.9,45.9
Noah,Budućnost Podgorica,8142,1858,7667,689,1644,4561,2809,2630,,,81.4,18.6,76.7,6.9,16.4,45.6,28.1,26.3
Ludogorets,Dynama Minsk,8450,1550,7828,644,1528,4972,2457,2571,,,84.5,15.5,78.3,6.4,15.3,49.7,24.6,25.7
NSI,HJK,4961,5039,2678,2644,4678,2671,2666,4663,,,49.6,50.4,26.8,26.4,46.8,26.7,26.7,46.6
Torpedo Kutaisi,Ordabasy Shymkent ,4365,5635,5062,2361,2577,1698,5992,2310,,,43.6,56.4,50.6,23.6,25.8,17.0,59.9,23.1
Željezničar,Koper,5024,4976,2661,2668,4671,2619,2697,4684,,,50.2,49.8,26.6,26.7,46.7,26.2,27.0,46.8
SJK,Klaksvík,4971,5029,2620,2726,4654,2711,2628,4661,,,49.7,50.3,26.2,27.3,46.5,27.1,26.3,46.6
Kalju,Partizani Tirana,5006,4994,2686,2635,4679,2653,2722,4625,,,50.1,49.9,26.9,26.4,46.8,26.5,27.2,46.2
